,againstHero,games,hero,losses,shift,wins
0,112,16,102,1,31.192976791251173,15
1,44,11,37,0,29.883498899257123,11
2,90,13,23,1,28.3624814299098,12
3,98,10,61,0,28.323329566102483,10
4,69,10,38,1,27.695920761479563,9
5,100,11,33,1,25.460296177649862,10
6,11,12,89,1,24.972736882423558,11
7,104,11,42,1,24.55480599508645,10
8,75,19,77,3,23.528365703077363,16
9,4,11,8,1,23.177905083651492,10
10,3,10,1,2,22.67051623941871,8
11,19,13,109,2,22.638381086719185,11
12,91,12,97,2,22.175648770183788,10
13,55,12,38,2,22.071024000200875,10
14,62,12,31,3,21.79094106777599,9
15,34,12,62,2,21.778436974548587,10
16,112,15,57,3,21.579966031161536,12
17,26,13,57,3,21.519388702063118,10
18,41,15,4,5,21.480590173913868,10
19,25,13,4,2,21.42004260246313,11
20,104,16,91,1,21.319718278752113,15
21,101,11,51,2,21.22662017561448,9
22,19,10,37,1,21.121276459586674,9
23,80,16,112,4,21.10879540796462,12
24,109,10,90,1,21.034570289962257,9
25,112,14,10,3,21.02177070913973,11
26,75,17,3,3,20.897191698320935,14
27,90,11,68,2,20.787956198015944,9
28,48,18,3,4,20.77461856356065,14
29,114,13,108,3,20.766174427392738,10
30,48,12,94,2,20.576242864974443,10
31,81,23,94,6,20.51779847980575,17
32,13,11,66,2,20.385605001870267,9
33,51,15,10,3,20.332726180509006,12
34,75,10,103,1,20.241991505098973,9
35,64,10,34,2,20.22471209152634,8
36,112,38,68,8,20.161440612174857,30
37,7,12,84,2,20.160900959942534,10
38,73,13,97,4,19.966763707753135,9
39,95,12,32,2,19.760326388824463,10
40,15,11,31,3,19.73878794252568,8
41,64,11,5,2,19.698196874853632,9
42,30,11,6,2,19.605882514870544,9
43,114,11,29,3,19.428812885704772,8
44,30,19,36,2,19.30529767168729,17
45,109,16,29,5,19.293843958416073,11
46,99,14,18,3,19.290873438644514,11
47,4,16,54,2,19.2440876038421,14
48,45,12,43,3,19.04326521517843,9
49,92,10,106,2,19.041690772468705,8
50,89,11,106,4,18.95338953455919,7
51,98,13,4,2,18.936498509144613,11
52,34,12,97,3,18.831202908180156,9
53,55,20,33,4,18.82593244000092,16
54,87,15,35,4,18.8244045658863,11
55,72,14,29,3,18.821794346434423,11
56,27,12,102,2,18.772173343475483,10
57,99,17,28,4,18.754584808369174,13
58,45,10,12,2,18.653807119995122,8
59,106,15,31,4,18.52908676481624,11
60,5,10,18,2,18.464269170029823,8
61,47,11,57,3,18.461606969811907,8
62,34,12,54,2,18.362976743969615,10
63,80,20,13,6,18.33580484931627,14
64,19,11,6,3,18.335706204340305,8
65,81,12,43,3,18.327617727929386,9
66,75,10,79,2,18.18520074819613,8
67,67,10,54,2,18.121548101252507,8
68,78,17,62,4,18.093769732536938,13
69,95,15,30,4,17.919901608832813,11
70,35,10,41,3,17.84884882348167,7
71,111,11,114,3,17.846918134233796,8
72,32,17,88,4,17.82459413467382,13
73,30,18,5,3,17.81053305502534,15
74,44,12,55,3,17.77184716319356,9
75,90,23,51,5,17.7178788097309,18
76,5,11,3,4,17.694163901939547,7
77,108,12,9,4,17.68902181325234,8
78,20,10,67,2,17.6724550880506,8
79,110,11,83,2,17.575104905290946,9
80,55,13,12,3,17.50536963681713,10
81,80,10,29,2,17.457200220457587,8
82,60,10,35,3,17.41812694726481,7
83,35,10,106,3,17.319051156851785,7
84,27,22,5,6,17.18696709990766,16
85,72,13,23,3,17.14817782244225,10
86,30,19,41,5,17.133905431137766,14
87,60,11,2,3,17.11684300008854,8
88,27,29,9,8,17.072056537621453,21
89,18,14,1,3,17.058153705270225,11
90,29,12,102,2,17.056577765128154,10
91,48,11,70,3,17.04295857723929,8
92,12,15,109,3,17.036286111783692,12
93,38,10,31,4,16.97274158238424,6
94,20,19,112,4,16.964936240764274,15
95,43,12,46,3,16.90387334173946,9
96,29,18,57,4,16.90112236273495,14
97,13,12,10,3,16.892767460419815,9
98,78,14,48,3,16.88793509976696,11
99,88,27,29,7,16.852047860671817,20
100,72,14,69,3,16.843378758894527,11
101,1,10,76,3,16.815372977495876,7
102,23,13,83,3,16.744700089549806,10
103,95,15,71,5,16.72675418994599,10
104,78,28,112,7,16.679149831728484,21
105,53,23,69,6,16.67657945090473,17
106,101,10,36,2,16.6279467044195,8
107,95,22,68,4,16.550204863156036,18
108,49,17,81,5,16.548537671207544,12
109,16,20,83,5,16.531803021169058,15
110,17,12,79,3,16.528587589888385,9
111,66,10,64,2,16.526342406123636,8
112,61,10,87,3,16.482333693393567,7
113,14,15,55,3,16.464885141480416,12
114,11,25,25,5,16.429746187224733,20
115,99,19,39,4,16.42872930905631,15
116,29,10,40,2,16.378294184390825,8
117,110,11,43,3,16.376498956572302,8
118,27,13,83,2,16.368092522641092,11
119,100,22,57,6,16.35292952819185,16
120,104,19,2,6,16.352388003055783,13
121,30,18,85,5,16.30460960882904,13
122,65,16,33,4,16.28612136110108,12
123,34,12,80,2,16.269229317512288,10
124,86,25,58,6,16.26853319646312,19
125,102,16,60,5,16.199085660218575,11
126,48,17,9,4,16.17773183563187,13
127,48,12,35,3,16.1584671300222,9
128,43,10,102,3,16.154622115934178,7
129,98,13,46,4,16.128351252027375,9
130,71,15,112,4,16.116875921028473,11
131,41,18,5,6,16.05037708250146,12
132,15,14,37,3,16.033544043199246,11
