,againstHero,games,hero,losses,shift,wins
0,27,10,5,2,28.821539286963834,8
1,30,11,54,1,25.713620235434703,10
2,48,10,35,1,25.155197930838906,9
3,95,11,51,1,24.025527718099852,10
4,34,10,51,1,22.213174768846972,9
5,38,11,97,1,22.176359713839886,10
6,69,12,106,2,21.928800147409817,10
7,13,12,37,3,21.74997749497437,9
8,104,13,77,3,21.67891127707793,10
9,86,10,52,2,21.548311109424784,8
10,76,16,35,4,21.290365953390438,12
11,14,10,55,1,21.004863874890997,9
12,11,10,57,2,20.90420896163111,8
13,114,10,13,3,20.55215603596607,7
14,7,10,5,2,20.2851001401906,8
15,30,13,107,2,20.16519546843592,11
16,107,10,66,2,20.152222817707916,8
17,95,11,32,2,19.781742447451247,9
18,106,14,23,4,19.488291082377255,10
19,28,14,112,3,19.249826897720943,11
20,2,11,51,3,19.134727334298884,8
21,2,10,11,2,18.923084797888755,8
22,100,11,51,4,18.690232475901013,7
23,48,11,5,2,18.52965114115584,9
24,89,10,107,2,18.37073885718064,8
25,114,21,109,4,18.30576563543077,17
26,88,18,109,3,18.21704206195906,15
27,37,17,83,4,18.199927702413728,13
28,63,17,91,4,18.120595699414864,13
29,93,11,46,2,18.083848548834712,9
30,90,24,28,5,17.95699261872738,19
31,71,10,86,3,17.576621091983238,7
32,41,14,86,2,17.553755108318747,12
33,114,20,106,5,17.506395695430747,15
34,34,11,87,3,17.338115350277818,8
35,35,10,106,3,17.319051156851785,7
36,75,16,5,5,17.01819924973876,11
37,109,11,34,3,16.80862043469254,8
38,16,11,23,3,16.641418826129225,8
39,69,13,28,4,16.594451440712113,9
40,86,12,1,3,16.443278072212845,9
41,25,11,32,4,16.294531940202944,7
42,83,11,87,3,16.269995886240032,8
43,11,18,25,4,16.26604627899495,14
44,88,12,51,3,16.210351272776247,9
45,30,16,5,3,16.187869405434135,13
46,67,14,106,4,15.86890640221611,10
47,86,13,39,4,15.822357986805493,9
48,48,11,9,3,15.643745764186933,8
49,50,13,70,4,15.605001690885748,9
50,73,11,87,2,15.55795672641622,9
51,104,18,2,6,15.503443707499333,12
52,16,10,76,3,15.471221058971938,7
53,100,17,54,5,15.429636791757034,12
54,102,15,55,4,15.354582215254082,11
55,67,11,97,2,15.281658756670776,9
56,114,16,83,4,15.254612667104073,12
57,95,21,37,5,15.253586645434789,16
58,73,14,90,4,15.181297397438652,10
59,93,12,50,3,15.14812549512795,9
60,91,12,96,3,15.083901067533665,9
61,80,12,50,2,14.926124931290452,10
62,30,10,106,3,14.816367277347533,7
63,32,13,106,3,14.741977351969275,10
64,95,11,109,3,14.72386185620159,8
65,80,11,35,3,14.578551377058158,8
66,73,12,37,4,14.533349572792922,8
67,14,11,63,4,14.53302527333945,7
68,107,14,35,3,14.477847243885739,11
69,102,25,5,8,14.470617047029943,17
70,73,10,2,3,14.457830254043136,7
71,93,15,96,4,14.44662350298289,11
72,74,10,48,4,14.33557333912177,6
73,100,11,25,4,14.287481456071465,7
74,57,21,5,6,14.25122876849252,15
75,90,10,48,3,14.062301149493257,7
76,16,19,46,5,14.057452303595783,14
77,5,23,98,7,13.964139007723862,16
78,16,36,106,10,13.89877330826626,26
79,65,17,5,5,13.874756612988373,12
80,30,11,37,3,13.828127993674952,8
81,17,17,107,5,13.698776248571084,12
82,98,13,87,4,13.68471441047027,9
83,90,14,63,4,13.633390332824543,10
84,107,14,32,4,13.50418570034343,10
85,50,23,55,8,13.437291374468051,15
86,37,14,23,5,13.383873169788245,9
87,34,10,8,3,13.309346330253714,7
88,37,33,46,9,13.270131356152888,24
89,41,11,63,3,13.19933069492766,8
90,90,11,97,4,13.178561240127799,7
91,83,12,84,4,13.145698657823372,8
92,48,19,54,6,13.122325082638987,13
93,80,10,14,4,13.097202558791373,6
94,78,10,96,3,12.899686199305037,7
95,107,14,83,4,12.88621978018791,10
96,95,17,88,5,12.88480389133297,12
97,97,36,37,11,12.775402231067092,25
98,28,10,52,3,12.725624774771763,7
99,8,15,65,5,12.683976896904198,10
100,37,38,54,12,12.656394154228003,26
101,63,42,54,13,12.654298479258081,29
102,34,11,37,3,12.618512998951218,8
103,34,14,28,4,12.554972992619708,10
104,104,16,100,4,12.48203258092765,12
105,38,12,106,5,12.468362041882083,7
106,110,12,97,3,12.444094192946165,9
107,11,38,96,12,12.43376452627604,26
108,11,20,84,6,12.40504349474367,14
109,2,15,54,4,12.306524573726035,11
110,95,12,46,3,12.109043073160809,9
111,30,11,70,5,12.107988214057135,6
112,37,10,99,2,11.947901204360978,8
113,93,13,11,3,11.901577910299338,10
114,76,11,95,3,11.785859099329373,8
115,104,16,102,6,11.771791106351811,10
116,8,13,98,4,11.744031110171465,9
117,80,15,107,3,11.678062977381895,12
118,97,13,84,3,11.652945928469618,10
119,46,10,102,3,11.577574465319502,7
120,34,10,20,3,11.498268691099124,7
121,25,26,106,9,11.494435094102982,17
122,73,11,98,3,11.444385377093916,8
123,95,14,11,4,11.282220932028364,10
124,91,11,25,4,11.274053813058485,7
