,againstHero,games,hero,losses,shift,wins
0,27,10,5,2,28.821539286963834,8
1,30,11,54,1,25.713620235434703,10
2,48,10,35,1,25.155197930838906,9
3,34,10,51,1,22.213174768846972,9
4,38,11,97,1,22.176359713839886,10
5,69,12,106,2,21.928800147409817,10
6,95,10,51,1,21.892746502510366,9
7,13,12,37,3,21.74997749497437,9
8,104,13,77,3,21.67891127707793,10
9,86,10,52,2,21.548311109424784,8
10,76,16,35,4,21.290365953390438,12
11,14,10,55,1,21.004863874890997,9
12,11,10,57,2,20.90420896163111,8
13,114,10,13,3,20.55215603596607,7
14,7,10,5,2,20.2851001401906,8
15,30,13,107,2,20.16519546843592,11
16,107,10,66,2,20.152222817707916,8
17,95,11,32,2,19.781742447451247,9
18,106,14,23,4,19.488291082377255,10
19,28,14,112,3,19.249826897720943,11
20,2,10,11,2,18.923084797888755,8
21,48,11,5,2,18.52965114115584,9
22,89,10,107,2,18.37073885718064,8
23,114,21,109,4,18.30576563543077,17
24,37,17,83,4,18.199927702413728,13
25,63,17,91,4,18.120595699414864,13
26,93,11,46,2,18.083848548834712,9
27,90,24,28,5,17.95699261872738,19
28,104,17,2,5,17.771124023067713,12
29,71,10,86,3,17.576621091983238,7
30,41,14,86,2,17.553755108318747,12
31,114,20,106,5,17.506395695430747,15
32,34,11,87,3,17.338115350277818,8
33,35,10,106,3,17.319051156851785,7
34,100,10,51,4,17.298916216079064,6
35,75,16,5,5,17.01819924973876,11
36,109,11,34,3,16.80862043469254,8
37,88,17,109,3,16.746246968050464,14
38,2,10,51,3,16.72614420188825,7
39,16,11,23,3,16.641418826129225,8
40,69,13,28,4,16.594451440712113,9
41,86,12,1,3,16.443278072212845,9
42,25,11,32,4,16.294531940202944,7
43,83,11,87,3,16.269995886240032,8
44,11,18,25,4,16.26604627899495,14
45,83,11,84,3,16.229802294134114,8
46,88,12,51,3,16.210351272776247,9
47,30,16,5,3,16.187869405434135,13
48,67,14,106,4,15.86890640221611,10
49,48,11,9,3,15.643745764186933,8
50,50,13,70,4,15.605001690885748,9
51,73,11,87,2,15.55795672641622,9
52,16,10,76,3,15.471221058971938,7
53,100,17,54,5,15.429636791757034,12
54,102,15,55,4,15.354582215254082,11
55,67,11,97,2,15.281658756670776,9
56,114,16,83,4,15.254612667104073,12
57,95,21,37,5,15.253586645434789,16
58,73,14,90,4,15.181297397438652,10
59,93,12,50,3,15.14812549512795,9
60,91,12,96,3,15.083901067533665,9
61,80,12,50,2,14.926124931290452,10
62,30,10,106,3,14.816367277347533,7
63,32,13,106,3,14.741977351969275,10
64,95,11,109,3,14.72386185620159,8
65,80,11,35,3,14.578551377058158,8
66,73,12,37,4,14.533349572792922,8
67,14,11,63,4,14.53302527333945,7
68,107,14,35,3,14.477847243885739,11
69,102,25,5,8,14.470617047029943,17
70,73,10,2,3,14.457830254043136,7
71,93,15,96,4,14.44662350298289,11
72,86,12,39,4,14.42393822952924,8
73,74,10,48,4,14.33557333912177,6
74,100,11,25,4,14.287481456071465,7
75,57,21,5,6,14.25122876849252,15
76,90,10,48,3,14.062301149493257,7
77,16,19,46,5,14.057452303595783,14
78,95,11,55,3,13.974029718793929,8
79,5,23,98,7,13.964139007723862,16
80,16,36,106,10,13.89877330826626,26
81,65,17,5,5,13.874756612988373,12
82,30,11,37,3,13.828127993674952,8
83,17,17,107,5,13.698776248571084,12
84,98,13,87,4,13.68471441047027,9
85,107,14,32,4,13.50418570034343,10
86,50,23,55,8,13.437291374468051,15
87,37,14,23,5,13.383873169788245,9
88,34,10,8,3,13.309346330253714,7
89,41,11,63,3,13.19933069492766,8
90,90,11,97,4,13.178561240127799,7
91,48,19,54,6,13.122325082638987,13
92,80,10,14,4,13.097202558791373,6
93,90,13,63,4,13.083694101380676,9
94,78,10,96,3,12.899686199305037,7
95,107,14,83,4,12.88621978018791,10
96,95,17,88,5,12.88480389133297,12
97,97,36,37,11,12.775402231067092,25
98,28,10,52,3,12.725624774771763,7
99,8,15,65,5,12.683976896904198,10
100,37,38,54,12,12.656394154228003,26
101,63,42,54,13,12.654298479258081,29
102,34,11,37,3,12.618512998951218,8
103,34,14,28,4,12.554972992619708,10
104,104,16,100,4,12.48203258092765,12
105,38,12,106,5,12.468362041882083,7
106,110,12,97,3,12.444094192946165,9
107,11,38,96,12,12.43376452627604,26
108,11,20,84,6,12.40504349474367,14
109,2,15,54,4,12.306524573726035,11
110,30,11,70,5,12.107988214057135,6
111,93,13,11,3,11.901577910299338,10
112,76,11,95,3,11.785859099329373,8
113,104,16,102,6,11.771791106351811,10
114,8,13,98,4,11.744031110171465,9
115,80,15,107,3,11.678062977381895,12
116,46,10,102,3,11.577574465319502,7
117,34,10,20,3,11.498268691099124,7
118,25,26,106,9,11.494435094102982,17
119,73,11,98,3,11.444385377093916,8
120,95,14,11,4,11.282220932028364,10
121,91,11,25,4,11.274053813058485,7
122,63,37,84,13,11.269668732607466,24
123,69,15,86,5,11.23064505833839,10
124,37,31,46,9,11.204584645652728,22
