,againstHero,games,hero,losses,shift,wins
0,48,10,35,1,25.155197930838906,9
1,50,10,99,2,23.86206100033561,8
2,10,10,28,1,23.03135332069283,9
3,14,12,55,1,22.798222840334336,11
4,69,13,106,2,22.73676173529586,11
5,34,10,51,1,22.213174768846972,9
6,38,11,97,1,22.176359713839886,10
7,100,10,65,1,22.110124058883027,9
8,75,12,77,2,21.65697550735631,10
9,86,11,52,2,21.50607211887481,9
10,107,15,99,3,20.352626660653986,12
11,55,16,33,3,20.174007528343807,13
12,107,10,66,2,20.152222817707916,8
13,37,10,77,2,20.07663336239138,8
14,95,12,32,2,19.760326388824463,10
15,57,10,13,3,19.532538910453603,7
16,15,16,39,3,19.411328140872982,13
17,99,14,18,3,19.290873438644514,11
18,28,14,112,3,19.249826897720943,11
19,48,12,5,2,19.15405252867682,10
20,2,11,51,3,19.134727334298884,8
21,80,15,50,2,19.097501159122775,13
22,2,10,11,2,18.923084797888755,8
23,90,26,28,5,18.776580206085537,21
24,44,10,5,2,18.758661413857347,8
25,98,10,46,3,18.66966202924449,7
26,77,11,88,2,18.48908437327677,9
27,5,10,18,2,18.464269170029823,8
28,77,13,50,2,18.439409411532676,11
29,104,11,91,1,18.395151298395557,10
30,89,10,107,2,18.37073885718064,8
31,27,10,109,2,18.306920752790855,8
32,114,21,109,4,18.30576563543077,17
33,71,10,54,2,18.201053620067494,8
34,93,11,46,2,18.083848548834712,9
35,26,11,86,2,18.01144379039894,9
36,8,12,77,3,17.994666569137156,9
37,30,15,54,3,17.764715191949644,12
38,16,14,77,3,17.677083033460956,11
39,109,10,39,1,17.564715125555086,9
40,30,10,11,2,17.49573299351197,8
41,16,10,67,2,17.493350405648194,8
42,34,11,87,3,17.338115350277818,8
43,35,10,106,3,17.319051156851785,7
44,7,13,53,2,17.17856345679906,11
45,40,11,17,2,17.086573002444847,9
46,30,11,18,2,17.068354015610023,9
47,7,28,25,5,17.028708297942057,23
48,27,21,5,6,17.02393852387809,15
49,30,17,5,3,16.83586234693501,14
50,74,15,60,4,16.816481359208634,11
51,41,14,5,5,16.723825478761608,9
52,16,15,76,4,16.696805142201285,11
53,69,13,28,4,16.594451440712113,9
54,86,10,103,3,16.57051549779981,7
55,114,22,106,6,16.472599727129356,16
56,11,25,25,5,16.429746187224733,20
57,62,11,63,3,16.42423729332859,8
58,55,12,23,4,16.337291060848987,8
59,7,22,87,4,16.23589633771652,18
60,40,18,77,4,16.091881851510863,14
61,76,20,51,4,16.059816015696757,16
62,90,13,51,2,16.04402323126696,11
63,95,21,11,5,16.006249051562754,16
64,46,14,39,5,15.997990367233035,9
65,95,21,51,5,15.959661592143913,16
66,7,12,91,2,15.954834127067437,10
67,86,14,1,4,15.940604703137481,10
68,13,16,83,4,15.934926256250733,12
69,67,14,106,4,15.86890640221611,10
70,88,13,29,4,15.850906570917441,9
71,14,12,63,4,15.759973477645744,8
72,93,16,96,4,15.733194627661211,12
73,73,11,87,2,15.55795672641622,9
74,104,18,2,6,15.503443707499333,12
75,90,12,97,4,15.449883037579115,8
76,49,14,25,4,15.43786379260084,10
77,7,11,99,3,15.3158743249674,8
78,114,12,13,4,15.282798888162278,8
79,67,11,97,2,15.281658756670776,9
80,114,16,83,4,15.254612667104073,12
81,8,11,40,3,15.211476925568734,8
82,80,11,70,2,15.1572772977841,9
83,48,12,9,3,15.097519161061681,9
84,91,12,96,3,15.083901067533665,9
85,30,20,39,5,15.082467227864845,15
86,10,10,86,3,15.079069386592561,7
87,25,18,99,5,15.014737107768298,13
88,32,13,106,3,14.741977351969275,10
89,7,18,5,5,14.615769591051182,13
90,80,11,35,3,14.578551377058158,8
91,34,11,8,3,14.575309413686806,8
92,91,15,60,5,14.562242957258865,10
93,48,24,54,7,14.535603927866184,17
94,73,12,37,4,14.533349572792922,8
95,16,13,32,4,14.531367270350456,9
96,73,10,2,3,14.457830254043136,7
97,100,20,54,6,14.454126910452931,14
98,89,10,74,3,14.4466828072844,7
99,95,11,30,4,14.445403657605016,7
100,68,10,30,3,14.407503805588604,7
101,34,15,28,4,14.366739527209466,11
102,37,10,60,3,14.362761534461953,7
103,40,10,83,2,14.347262135245902,8
104,46,11,102,3,14.30749471315205,8
105,34,12,37,3,14.30057126443514,9
106,41,10,97,2,14.284469080714292,8
107,14,10,97,2,14.259112129654318,8
108,90,15,63,4,14.185279438364955,11
109,99,17,39,4,14.174199505430364,13
110,69,12,88,3,14.079800598781196,9
111,90,11,48,3,14.06470498739888,8
112,71,19,86,5,14.063250400539502,14
113,99,14,28,4,14.058177689507714,10
114,100,15,88,4,14.04956823717941,11
115,76,20,35,7,13.96733759196386,13
116,7,12,97,3,13.959040198498599,9
117,50,14,46,5,13.930312132021172,9
118,87,17,91,4,13.92840180214569,13
119,23,11,83,3,13.9232349355535,8
120,104,13,27,3,13.885480526967179,10
121,11,13,83,3,13.863860744018647,10
122,107,17,35,4,13.847342024461655,13
123,33,13,50,4,13.8066594696148,9
124,23,15,5,4,13.786506998462487,11
125,75,13,7,3,13.77189745889887,10
126,40,13,55,3,13.687241072522394,10
127,70,10,64,3,13.634358442139632,7
128,90,10,39,3,13.629461749512435,7
129,7,23,88,6,13.596790017480618,17
130,74,11,103,3,13.53565105452587,8
131,100,14,87,5,13.517168645682409,9
132,93,10,90,3,13.452391800759148,7
133,51,11,10,3,13.446955688168293,8
134,25,12,32,5,13.427877456338663,7
135,7,18,77,6,13.397473819041604,12
136,100,11,55,4,13.383239409595307,7
137,18,11,37,3,13.371391730474068,8
138,6,11,7,5,13.366499824866235,6
139,34,11,20,3,13.36206244645375,8
140,30,13,106,4,13.356596342062886,9
141,16,18,83,5,13.351235477213141,13
142,95,18,17,5,13.342671111008823,13
143,98,19,87,5,13.3365886192532,14
144,107,12,53,3,13.327017045676342,9
