,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
0,10,2108395,3927969458,35,1883502,True,1527904857,3.0,93.0,23.0,69.0,16.0,85.0,52.0,39.0,95.0,38.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR
1,48,726228,3927969700,11,39,False,1527904873,52.0,48.0,30.0,104.0,16.0,72.0,26.0,62.0,106.0,65.0,111620041.0,86745912.0,94155156.0,41231571.0,25907144.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,CHINA DOTA2 SUPER MAJOR
2,20,2163,3927970381,37,2621843,True,1527904915,37.0,93.0,28.0,21.0,64.0,85.0,38.0,46.0,26.0,43.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,82262664.0,34505203.0,105248644.0,101356886.0,72312627.0,CHINA DOTA2 SUPER MAJOR
3,13,36,3927970658,22,1375614,True,1527904932,51.0,25.0,48.0,3.0,57.0,30.0,77.0,39.0,86.0,69.0,139876032.0,149486894.0,117281554.0,82327674.0,87012746.0,106809101.0,114619230.0,70388657.0,82305765.0,89550641.0,CHINA DOTA2 SUPER MAJOR
4,40,2108395,3928022579,31,1883502,False,1527908147,3.0,52.0,47.0,38.0,103.0,85.0,64.0,43.0,72.0,78.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR
5,14,2621843,3928032584,23,2163,True,1527908700,64.0,55.0,106.0,88.0,43.0,37.0,12.0,78.0,16.0,49.0,82262664.0,34505203.0,105248644.0,101356886.0,72312627.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,CHINA DOTA2 SUPER MAJOR
6,31,1375614,3928033510,32,36,False,1527908754,87.0,54.0,72.0,100.0,78.0,15.0,49.0,64.0,89.0,57.0,106809101.0,114619230.0,70388657.0,82305765.0,89550641.0,117281554.0,149486894.0,82327674.0,139876032.0,87012746.0,CHINA DOTA2 SUPER MAJOR
7,49,726228,3928034802,22,39,False,1527908827,49.0,40.0,53.0,52.0,51.0,15.0,100.0,62.0,39.0,57.0,111620041.0,86745912.0,94155156.0,41231571.0,25907144.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,CHINA DOTA2 SUPER MAJOR
8,37,2621843,3928080962,38,2163,True,1527911537,3.0,96.0,44.0,103.0,43.0,75.0,72.0,78.0,91.0,25.0,82262664.0,34505203.0,105248644.0,101356886.0,72312627.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,CHINA DOTA2 SUPER MAJOR
9,14,2108395,3928102591,43,1883502,True,1527917123,87.0,54.0,4.0,38.0,16.0,85.0,64.0,72.0,93.0,88.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR
